                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85738,                 2.0453,                 1.1592,                0.89983,                0.72894,                0.99414,                0.74694,                0.69526,                 1.6545,                  1.028,             0.00041298,             0.00041298,             0.00041298
                      2,                0.77274,                 1.2135,                 1.0846,                0.96524,                0.98785,                  0.995,                0.76947,                0.63978,                 1.0286,                 1.0275,             0.00082143,             0.00082143,             0.00082143
                      3,                0.75073,                0.99645,                 1.0517,                0.97086,                      1,                0.99444,                0.86235,                0.52971,                0.74921,                0.94581,              0.0012216,              0.0012216,              0.0012216
                      4,                0.72434,                0.81261,                 1.0374,                 0.9981,                      1,                  0.995,                0.87442,                0.52025,                0.59228,                0.94257,              0.0012129,              0.0012129,              0.0012129
                      5,                0.70653,                 0.7336,                 1.0345,                0.83223,                      1,                  0.995,                0.82028,                 0.5849,                0.55794,                0.97061,              0.0012005,              0.0012005,              0.0012005
                      6,                0.69179,                0.64232,                 1.0153,                0.99916,                      1,                  0.995,                0.87727,                0.47328,                 0.3711,                0.92406,              0.0011881,              0.0011881,              0.0011881
                      7,                0.67576,                0.60961,                 1.0068,                0.99811,                      1,                  0.995,                0.87134,                0.49694,                0.34091,                0.93205,              0.0011757,              0.0011757,              0.0011757
                      8,                0.65361,                0.56658,                  1.005,                0.99885,                      1,                  0.995,                0.88616,                0.49671,                0.34784,                 0.9189,              0.0011634,              0.0011634,              0.0011634
                      9,                0.66051,                0.55619,                 1.0075,                 0.9976,                      1,                  0.995,                0.88361,                0.47139,                0.34564,                0.91921,               0.001151,               0.001151,               0.001151
                     10,                0.64964,                0.54893,                 0.9965,                0.99732,                      1,                  0.995,                0.88343,                0.44476,                0.35007,                0.91235,              0.0011386,              0.0011386,              0.0011386
                     11,                0.63917,                0.51975,                0.99894,                0.99592,                      1,                  0.995,                0.86818,                0.47737,                0.29661,                0.93838,              0.0011263,              0.0011263,              0.0011263
                     12,                0.64117,                0.51913,                0.99738,                0.99728,                      1,                  0.995,                0.87728,                0.48321,                0.34972,                0.91768,              0.0011139,              0.0011139,              0.0011139
                     13,                0.61597,                0.49422,                0.98894,                 0.9959,                      1,                  0.995,                0.87582,                0.49252,                0.29388,                0.92837,              0.0011015,              0.0011015,              0.0011015
                     14,                0.63564,                0.49475,                0.99581,                0.99057,                0.93863,                0.98621,                0.88058,                0.50977,                0.70636,                0.92272,              0.0010891,              0.0010891,              0.0010891
                     15,                0.62999,                0.48335,                0.98417,                0.99667,                      1,                  0.995,                0.89416,                0.43565,                0.28042,                0.90004,              0.0010768,              0.0010768,              0.0010768
                     16,                0.61621,                0.46713,                0.98688,                0.99595,                      1,                  0.995,                0.89967,                0.45623,                0.37781,                0.91167,              0.0010644,              0.0010644,              0.0010644
                     17,                0.61061,                0.46066,                 0.9804,                0.99386,                0.99972,                  0.995,                0.88552,                0.50538,                0.30034,                0.93201,               0.001052,               0.001052,               0.001052
                     18,                0.60218,                 0.4391,                0.98047,                0.99553,                0.79156,                0.94071,                 0.8101,                0.50134,                0.44866,                0.94552,              0.0010396,              0.0010396,              0.0010396
                     19,                0.61319,                0.43921,                0.98373,                0.99545,                0.92816,                  0.995,                 0.8934,                0.44774,                0.31528,                0.92252,              0.0010273,              0.0010273,              0.0010273
